1
CUDA: OK
Start loading the data....
  - Found cached train data
  - Found cached valid data
  - Found cached test data
<class 'src.dataset.Multimodal_Datasets'>
Finish loading the data....
### Note: You are running in unaligned mode.
test-data-check:
real_sample:
real_sample:. done.
start:
n_train: 1284
n_test: 686
dict: {'lr': 0.001, 'optim': 'Adam', 'num_epochs': 150, 'nlevels': 5, 'num_heads': 10, 'batch_size': 2, 'clip': 0.8, 'attn_dropout': 0.2, 'out_dropout': 0.1, 'embed_dropout': 0.2}
wandb: WARNING Changes to your `wandb` environment variables will be ignored because your `wandb` session has already started. For more information on how to modify your settings with `wandb.init()` arguments, please refer to https://wandb.me/wandb-init.
D:\mmt\modules\position_embedding.py:21: UserWarning: The number of elements in the out tensor of shape [50] is 50 which does not match the computed number of elements 375. Note that this may occur as a result of rounding error. The out tensor will be resized to a tensor of shape (375,). (Triggered internally at  C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\cuda\RangeFactories.cu:251.)
  torch.arange(padding_idx + 1, max_pos, out=getattr(make_positions, buf_name))
D:\mmt\modules\multihead_attention.py:168: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  heads_weight = F.softmax(self.head_linear.weight)  # 10, num_heads
D:\mmt\modules\position_embedding.py:21: UserWarning: The number of elements in the out tensor of shape [375] is 375 which does not match the computed number of elements 500. Note that this may occur as a result of rounding error. The out tensor will be resized to a tensor of shape (500,). (Triggered internally at  C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\cuda\RangeFactories.cu:251.)
  torch.arange(padding_idx + 1, max_pos, out=getattr(make_positions, buf_name))
Epoch  1 | Batch  30/642 | Time/Batch(ms) 1863.25 | Train Loss 1.4413
Epoch  1 | Batch  60/642 | Time/Batch(ms) 1649.38 | Train Loss 1.4496
Epoch  1 | Batch  90/642 | Time/Batch(ms) 1610.57 | Train Loss 1.7241
Epoch  1 | Batch 120/642 | Time/Batch(ms) 1607.84 | Train Loss 1.3762
Epoch  1 | Batch 150/642 | Time/Batch(ms) 1583.59 | Train Loss 1.2995
Epoch  1 | Batch 180/642 | Time/Batch(ms) 1589.44 | Train Loss 1.2105
Epoch  1 | Batch 210/642 | Time/Batch(ms) 1566.51 | Train Loss 1.2043
Epoch  1 | Batch 240/642 | Time/Batch(ms) 1568.64 | Train Loss 1.3194
Epoch  1 | Batch 270/642 | Time/Batch(ms) 1596.08 | Train Loss 1.1677
Epoch  1 | Batch 300/642 | Time/Batch(ms) 1562.25 | Train Loss 1.3952
Epoch  1 | Batch 330/642 | Time/Batch(ms) 1586.49 | Train Loss 1.4941
Epoch  1 | Batch 360/642 | Time/Batch(ms) 1587.84 | Train Loss 1.2154
Epoch  1 | Batch 390/642 | Time/Batch(ms) 1590.43 | Train Loss 1.3145
Epoch  1 | Batch 420/642 | Time/Batch(ms) 1583.09 | Train Loss 1.2680
Epoch  1 | Batch 450/642 | Time/Batch(ms) 1580.27 | Train Loss 1.2492
Epoch  1 | Batch 480/642 | Time/Batch(ms) 1638.42 | Train Loss 1.3769
Epoch  1 | Batch 510/642 | Time/Batch(ms) 1604.00 | Train Loss 1.3752
Epoch  1 | Batch 540/642 | Time/Batch(ms) 1554.05 | Train Loss 1.3551
Epoch  1 | Batch 570/642 | Time/Batch(ms) 1560.88 | Train Loss 1.3304
Epoch  1 | Batch 600/642 | Time/Batch(ms) 1553.13 | Train Loss 1.1422
